ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	FalseColumn	MissColumn	TempColumn	EventType	
Unknown	0.00000	00/31/0118 10:17.54	00000000	0.000	-	-	-	0	-	-	0.0	0.000	0.000	P	F	0.0	0.000	0.000	0.000	0.000	0.000	0.000	-	0.000	0.000	-	-	-	-	-	-	-	FREEWAY_SMOOTH	-	F	0000000000000000	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.01667	00/31/0118 10:17.54	00000001	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.002	0.000	1503.500	523.200	0.000	-	0.000	0.244	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	T1	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.03333	00/31/0118 10:17.54	00000002	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.004	0.000	1503.500	523.200	0.000	-	-0.000	0.162	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.05000	00/31/0118 10:17.54	00000003	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.007	0.000	1503.500	523.200	0.000	-	0.000	0.059	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.06667	00/31/0118 10:17.54	00000004	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.009	0.000	1503.500	523.201	0.001	-	0.000	0.013	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.08333	00/31/0118 10:17.54	00000005	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.011	0.000	1503.500	523.201	0.001	-	0.000	-0.006	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.10000	00/31/0118 10:17.54	00000006	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.014	0.000	1503.500	523.201	0.002	-	0.000	-0.014	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.11667	00/31/0118 10:17.54	00000007	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.017	0.000	1503.500	523.201	0.002	-	0.000	-0.020	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.13334	00/31/0118 10:17.54	00000008	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.020	0.000	1503.500	523.201	0.003	-	0.000	-0.023	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.15000	00/31/0118 10:17.54	00000009	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	0.0	0.000	0.000	D	F	0.0	0.000	0.025	0.000	1503.500	523.201	0.003	-	0.000	-0.025	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000000001	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
