ZoneName	Time	SystemTime	Frame	Velocity	LaneName	LanePos	LaneIndex	LaneCount	LaneHeading	SpeedLimit	Steer	Accel	Brake	Gear	Horn	SubjectEngineRPM	SubjectHeading	SubjectPitch	SubjectRoll	SubjectX	SubjectY	SubjectZ	Signal	LatAccel	LongAccel	Collision	CollisionAngle	CollisionVelocity	VehAhead	HeadwayTime	HeadwayDist	TTC	TerrainType	CultureType	Slip	DigitalInputs	DigitalInputs2	ActiveTrigger	EntityName	DistToEntity	TimeToEntity	EntityVelocity	EntityAccel	EntityHeading	EntityX	EntityY	EntityZ	GrabData	FalseColumn	MissColumn	TempColumn	EventType	
Unknown	0.00000	01/03/0118 08:58.01	00000000	0.000	-	-	-	0	-	-	0.0	0.000	0.000	P	F	0.0	0.000	0.000	0.000	0.000	0.000	0.000	-	0.000	0.000	-	-	-	-	-	-	-	FREEWAY_SMOOTH	-	F	0000000000000000	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.01667	01/03/0118 08:58.01	00000001	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.002	-0.000	1503.500	523.200	0.000	-	-0.000	0.247	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	T1	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.03333	01/03/0118 08:58.01	00000002	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.004	-0.000	1503.500	523.200	0.000	-	0.000	0.162	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.05000	01/03/0118 08:58.01	00000003	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.007	-0.000	1503.500	523.200	0.000	-	-0.000	0.059	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.06667	01/03/0118 08:58.01	00000004	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.009	-0.000	1503.500	523.201	0.001	-	-0.000	0.013	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.08333	01/03/0118 08:58.01	00000005	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.011	-0.000	1503.500	523.201	0.001	-	-0.000	-0.006	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.10000	01/03/0118 08:58.01	00000006	0.008	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.014	-0.000	1503.500	523.201	0.002	-	-0.000	-0.014	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.11667	01/03/0118 08:58.01	00000007	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.017	-0.000	1503.500	523.201	0.002	-	-0.000	-0.020	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.13334	01/03/0118 08:58.01	00000008	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.020	-0.000	1503.500	523.201	0.003	-	-0.000	-0.023	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.15000	01/03/0118 08:58.01	00000009	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.025	-0.000	1503.500	523.201	0.003	-	-0.000	-0.025	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.16667	01/03/0118 08:58.01	00000010	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.030	-0.000	1503.500	523.202	0.004	-	-0.000	-0.024	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.18334	01/03/0118 08:58.01	00000011	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.035	-0.000	1503.500	523.202	0.004	-	-0.000	-0.021	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.20000	01/03/0118 08:58.01	00000012	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.041	-0.000	1503.500	523.202	0.005	-	-0.000	-0.015	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.21667	01/03/0118 08:58.01	00000013	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.047	-0.000	1503.500	523.202	0.005	-	0.000	-0.009	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.23334	01/03/0118 08:58.01	00000014	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.053	-0.000	1503.500	523.202	0.006	-	0.000	-0.002	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.25001	01/03/0118 08:58.01	00000015	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.058	-0.000	1503.500	523.202	0.006	-	0.000	0.005	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.26667	01/03/0118 08:58.01	00000016	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.062	-0.000	1503.500	523.202	0.007	-	0.000	0.010	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.28334	01/03/0118 08:58.01	00000017	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.065	-0.000	1503.500	523.203	0.007	-	0.000	0.014	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.30001	01/03/0118 08:58.01	00000018	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.068	-0.000	1503.500	523.203	0.007	-	0.000	0.015	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.31667	01/03/0118 08:58.01	00000019	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.070	-0.000	1503.500	523.203	0.007	-	0.000	0.013	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.33334	01/03/0118 08:58.01	00000020	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.071	-0.000	1503.500	523.203	0.008	-	0.000	0.010	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.35001	01/03/0118 08:58.01	00000021	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.071	-0.000	1503.500	523.203	0.008	-	0.000	0.004	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.36667	01/03/0118 08:58.01	00000022	0.007	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.072	-0.000	1503.500	523.203	0.008	-	0.000	-0.003	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.38334	01/03/0118 08:58.01	00000023	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.072	-0.000	1503.500	523.203	0.008	-	-0.000	-0.010	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.40001	01/03/0118 08:58.01	00000024	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.072	-0.000	1503.500	523.203	0.009	-	-0.000	-0.017	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1111101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.41668	01/03/0118 08:58.01	00000025	0.006	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.073	-0.000	1503.500	523.203	0.009	-	-0.000	-0.022	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.43334	01/03/0118 08:58.01	00000026	0.005	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.074	-0.000	1503.500	523.204	0.009	-	-0.000	-0.026	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.45001	01/03/0118 08:58.01	00000027	0.005	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.076	-0.000	1503.500	523.204	0.010	-	-0.000	-0.028	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.46668	01/03/0118 08:58.01	00000028	0.004	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.079	-0.000	1503.500	523.204	0.010	-	-0.000	-0.028	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.48334	01/03/0118 08:58.01	00000029	0.004	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.082	0.000	1503.500	523.204	0.010	-	-0.000	-0.026	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.50001	01/03/0118 08:58.01	00000030	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.086	0.000	1503.500	523.204	0.011	-	-0.000	-0.022	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.51668	01/03/0118 08:58.01	00000031	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.090	0.000	1503.500	523.204	0.011	-	-0.000	-0.017	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.53334	01/03/0118 08:58.01	00000032	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.094	0.000	1503.500	523.204	0.011	-	0.000	-0.011	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.55001	01/03/0118 08:58.01	00000033	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.098	0.000	1503.500	523.204	0.012	-	0.000	-0.006	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.56668	01/03/0118 08:58.01	00000034	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.102	0.001	1503.500	523.204	0.012	-	0.000	-0.001	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.58334	01/03/0118 08:58.01	00000035	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.106	0.001	1503.500	523.204	0.013	-	0.000	0.003	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.60001	01/03/0118 08:58.01	00000036	0.003	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.109	0.001	1503.500	523.204	0.013	-	0.000	0.006	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.61668	01/03/0118 08:58.01	00000037	0.004	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.112	0.001	1503.500	523.205	0.013	-	0.000	0.008	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
Unknown	0.63335	01/03/0118 08:58.01	00000038	0.004	Inter625t13-0	-0.088	1	2	0.000	11.111	-3.3	0.000	0.000	D	F	0.0	0.000	0.115	0.001	1503.500	523.205	0.014	-	0.000	0.008	-	-	-	-	-	-	-	PAVEMENT_GENERAL	Urban	F	1011101000010101	0000000000000000	-	-	-	-	-	-	-	-	-	-	Terminate	-	-	-	-	
